round_0,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(0, 100.0)"
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(0, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
0,,,,,,,,
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
0,,,,,,,,
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
0,,,,,,,,
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(0, 100.0)","(0, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
0,,,,,,,,
0,,,,,,,,
1,"(1, 100.0)","(1, 100.0)","(0, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(0, 100.0)"
1,"(1, 100.0)","(1, 100.0)","(0, 100.0)","(1, 100.0)","(0, 100.0)","(0, 99.99)","(0, 100.0)","(0, 100.0)"
0,,,,,,,,
1,"(1, 100.0)","(0, 100.0)","(0, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(0, 100.0)"
0,,,,,,,,
0,,,,,,,,
1,"(1, 100.0)","(1, 100.0)","(0, 100.0)","(0, 100.0)","(1, 100.0)","(1, 100.0)","(0, 100.0)","(0, 100.0)"
0,,,,,,,,
1,"(1, 100.0)","(0, 100.0)","(0, 100.0)","(1, 100.0)","(1, 100.0)","(0, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(0, 100.0)","(0, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(0, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 99.58)","(1, 99.86)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 99.98)","(1, 99.96)","(1, 99.99)","(1, 99.75)","(1, 99.81)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 98.9)","(1, 97.07)","(0, 99.99)","(1, 100.0)","(1, 99.99)"
0,,,,,,,,
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
0,,,,,,,,
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 99.97)","(1, 99.84)","(0, 99.98)","(0, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 99.97)","(0, 100.0)","(0, 100.0)","(1, 100.0)"
0,,,,,,,,
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
0,,,,,,,,
1,"(1, 99.8)","(1, 94.79)","(1, 99.57)","(1, 99.6)","(0, 57.96)","(0, 88.64)","(0, 100.0)","(0, 99.32)"
