round_0,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 99.99)","(1, 99.98)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(0, 100.0)","(1, 100.0)","(1, 97.4)","(1, 90.46)","(1, 99.53)","(1, 100.0)","(1, 99.98)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 99.59)","(1, 99.12)","(1, 99.23)","(1, 96.43)","(1, 70.53)","(1, 98.53)","(1, 100.0)","(1, 99.22)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 99.99)","(1, 99.99)","(1, 99.91)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 99.98)","(1, 99.97)","(1, 99.41)","(1, 93.24)","(1, 100.0)","(1, 100.0)","(1, 99.88)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 100.0)","(1, 99.96)","(1, 75.49)","(1, 97.4)","(1, 99.52)","(1, 100.0)","(1, 100.0)"
0,,,,,,,,
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
1,"(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 99.99)","(1, 100.0)","(1, 99.99)"
0,,,,,,,,
0,,,,,,,,
1,"(1, 100.0)","(0, 99.99)","(1, 100.0)","(1, 100.0)","(1, 99.99)","(1, 99.98)","(1, 100.0)","(1, 99.99)"
1,"(1, 100.0)","(1, 100.0)","(0, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)","(1, 100.0)"
