covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),Model,Analysis_Type,Formula
C(adv_id)[T.p3]:cumulative_drift,2.4359632100186723,11.426819841670955,4.301589176239921,-5.994996651698893,10.866923071736236,0.0024911853148817695,52413.68874246192,0.0,0.5662937835797657,0.5711940855840094,0.8079470537955511,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p4]:cumulative_drift,2.077485976896157,7.984370768698553,4.317106932107851,-6.383888127443435,10.53886008123575,0.0016885448989858182,37754.5048463549,0.0,0.48122180190746705,0.6303588673104012,0.665754696932182,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p5]:cumulative_drift,3.6939057119007472,40.201556424415315,4.3338447603780255,-4.800273933027803,12.188085356829298,0.008227492958241888,196434.70339606373,0.0,0.8523391852131181,0.3940258632160304,1.3436377659445227,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p6]:cumulative_drift,0.31262114191060864,1.3670035325633088,4.314402949835642,-8.143453254560619,8.768695538381838,0.0002906318376328379,6429.779590773315,0.0,0.07245988507460063,0.9422359285884898,0.08583975013669533,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p7]:cumulative_drift,-9.47728328487284,7.657167827707956e-05,5.111130507234915,-19.49491499933721,0.5403484295915302,3.4155920230732346e-09,1.7166048739313569,0.0,-1.8542440408159295,0.06370425395267769,3.97246647582504,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p8]:cumulative_drift,-5.61630090179219,0.003638073841577414,4.879883319831,-15.180696457418705,3.9480946538343247,2.5533320527226617e-07,51.83650619454887,0.0,-1.1509088504162623,0.24976973635156766,2.0013294132198642,llama_33,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p1],-0.1133226575615808,0.892862524788919,0.33708723856818734,-0.774001504803289,0.5473561896801274,0.46116402124700034,1.7286766778049654,0.0,-0.33618198672524785,0.7367336357228571,0.44078498422580564,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p2],-0.4117338246018649,0.6625005939446966,0.3538166496892658,-1.1052017151234508,0.28173406591972094,0.3311440787358466,1.325426197118239,0.0,-1.1636926214847831,0.2445486006659605,2.0318068854480336,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p3],0.019585207128428893,1.019778255535627,0.32791223637639544,-0.6231109662592911,0.6622813805161489,0.5362735110456196,1.9392113707716219,0.0,0.05972697861127674,0.9523730842624597,0.07040124680093923,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p4],-0.03388002110364582,0.966687479777026,0.3354917591745371,-0.6914317861957239,0.6236717439884322,0.5008584332473874,1.8657660958183184,0.0,-0.10098614996388029,0.9195614546941537,0.12098210108775363,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p5],0.5460582669909899,1.7264344445601336,0.29990551766130874,-0.04174574639001627,1.133862280371996,0.959113607671346,3.1076359124966078,0.0,1.8207676579250802,0.06864218255570083,3.8647607640901467,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p6],-0.14903553305555453,0.8615385012596358,0.33629313135595157,-0.8081579587614172,0.5100868926503082,0.44567826831736085,1.6654359027982832,0.0,-0.4431715047364644,0.6576416881386729,0.6046263400213016,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p7],0.18051456803370466,1.1978335714332218,0.31864209365754076,-0.444012459493514,0.8050415955609234,0.6414574285428596,2.2367895374004534,0.0,0.5665119945756819,0.5710457814691665,0.8083216819597414,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p8],-0.04210568588405057,0.9587684469268977,0.33584833581491425,-0.7003563283489961,0.6161449565808949,0.496408387891921,1.8517755888982956,0.0,-0.12537113153139154,0.9002297414678038,0.15163486613444443,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
cumulative_drift,0.35003853274477637,1.4191222302144373,3.09012839370972,-5.706501826530884,6.406578892020436,0.003324281140711198,605.8175644728838,0.0,0.11327637177060877,0.9098114492488611,0.13636050498122668,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(base_id)[T.Humanities],0.12882734539007396,1.137493713677203,0.22746343096685662,-0.3169927871048779,0.5746474778850258,0.7283360085179986,1.7765041595127724,0.0,0.5663650848950977,0.5711456246054523,0.80806945943874,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(base_id)[T.Legal],-0.04519417471350749,0.9558118693171628,0.26124637476149637,-0.5572276603376941,0.4668393109106791,0.5727948465404413,1.5949450925499333,0.0,-0.17299445687913295,0.8626557847034283,0.2131430821389023,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(base_id)[T.Medical],0.06136847978570431,1.0632906431189844,0.23646307775506534,-0.4020906362877182,0.5248275958591269,0.6689201145067366,1.6901674313951243,0.0,0.25952668961397596,0.7952288919369559,0.3305579216177375,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(base_id)[T.STEM],0.13996993300941182,1.1502392141056754,0.2327072860492801,-0.3161279665872373,0.596067832606061,0.7289661608869754,1.8149679925562112,0.0,0.6014849615828985,0.547517025143492,0.8690242686060609,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
prompt_to_prompt_drift,-1.0888756159550184,0.3365947427766767,5.729489669460621,-12.318469017892134,10.140717785982098,4.468449766445759e-06,25354.6591741175,0.0,-0.19004757470092898,0.8492718505951113,0.23570166274882925,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
context_to_prompt_drift,0.4605060552816313,1.5848758168695987,2.1652205864075964,-3.7832483126619536,4.704260423225216,0.022748676464504753,110.41659319465647,0.0,0.21268320566158813,0.8315740670179081,0.26608332703262505,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p1]:cumulative_drift,1.0325373357002832,2.8081821034037024,6.27605437866703,-11.268303211502003,13.33337788290257,1.2771387873268784e-05,617465.1341051536,0.0,0.16452013851409356,0.8693216945050704,0.202037946403953,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p2]:cumulative_drift,0.953629170653873,2.5951106895841365,6.417688442886985,-11.624809041403557,13.532067382711302,8.941483513809507e-06,753185.9205234485,0.0,0.14859387131994908,0.881874109298414,0.18135537431300686,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p3]:cumulative_drift,2.8263855181985535,16.88432232333545,5.646733717778498,-8.241009198935267,13.893780235332372,0.0002636180720866845,1081414.2522995991,0.0,0.5005345850291825,0.6166987100662698,0.6973622662184918,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p4]:cumulative_drift,-4.7087731267247275,0.009015832083251414,6.954133106169269,-18.33862355851415,8.921077305064696,1.0855178838705456e-08,7488.151909902506,0.0,-0.6771186364764,0.4983306853950509,1.0048246822059594,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p5]:cumulative_drift,3.265139486253932,26.18376301112998,5.213785738649846,-6.95369278460833,13.483971757116194,0.0009551016488051209,717818.3037174364,0.0,0.6262511829071571,0.5311502005150802,0.9128082058039265,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p6]:cumulative_drift,2.5460345417462826,12.756418309244788,5.759008650179235,-8.741414999259648,13.833484082752213,0.00015982757193287844,1018136.020665912,0.0,0.4420959745679569,0.6584197572045477,0.6029204675218632,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p7]:cumulative_drift,-3.3512845448579403,0.035039315607366235,6.209743996904462,-15.52215913200449,8.81959004228861,1.8147296781277379e-07,6765.490491670893,0.0,-0.5396815950107678,0.5894166348502918,0.7626403172938546,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p8]:cumulative_drift,-4.288165898098424,0.013730084592216219,7.205065939705316,-18.409835646157084,9.833503849960234,1.0109041190391284e-08,18648.180312945824,0.0,-0.5951598408652189,0.5517366315262697,0.8579483261856606,gemini_25,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p1],0.021161773359208002,1.021387271523047,0.24342032279494996,-0.45593329242400826,0.49825683914242425,0.6338561186934876,1.645849787771423,0.0,0.08693511337191863,0.9307230887318648,0.10357609782010826,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p2],-0.006205164755053672,0.9938140475207793,0.24298149260926896,-0.48244013917900613,0.4700298096688988,0.6172753149155218,1.6000418892253978,0.0,-0.02553760242567942,0.9796261558607559,0.029696800745740878,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p3],-0.22304842302160338,0.8000761062539568,0.25132066191766667,-0.7156278689509972,0.2695310229077904,0.4888850596625996,1.3093502514481992,0.0,-0.887505314205621,0.374806906367815,1.4157805578699905,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p4],0.04238708105582206,1.04329824158614,0.24168006560409946,-0.43129714330949037,0.5160713054211346,0.6496658382338275,1.6754324405541077,0.0,0.1753850941320792,0.8607770522154492,0.21628847783886196,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p5],-0.10246054703390571,0.9026137598405224,0.24583307926650222,-0.5842845286048304,0.37936343453701893,0.5575045977454497,1.4613540457749417,0.0,-0.4167890966489115,0.6768326782973288,0.5631288696928294,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
C(adv_id)[T.p6],0.05310491431665108,1.054540275688294,0.24234011529666236,-0.4218729836740914,0.5280828123073935,0.6558173336116495,1.695678256816647,0.0,0.2191338163375978,0.8265458092463519,0.27483331536843997,deepseek_r1,Interaction_TimeVarying_Cumulative,C(adv_id) * cumulative_drift + C(base_id) + prompt_to_prompt_drift + context_to_prompt_drift
