Model,Term,Coefficient,Hazard_Ratio,P_Value,CI_Lower,CI_Upper,HR_CI_Lower,HR_CI_Upper,Significance
llama_33,C(adv_id)[T.p1]:prompt_to_prompt_drift,6.386068218558854,593.5184014614323,0.45931253220686474,-10.528544234797426,23.300680671915135,2.6761554477534244e-05,13163065440.352207,ns
llama_33,C(adv_id)[T.p2]:prompt_to_prompt_drift,6.853064967387358,946.7783088214363,0.4335751169559141,-10.29922335552078,24.005353290295496,3.3659226289389276e-05,26631306327.363693,ns
llama_33,C(adv_id)[T.p3]:prompt_to_prompt_drift,3.856790941407656,47.313276414430625,0.6427110994076217,-12.437631846099944,20.151213728915256,3.966478652768587e-06,564366109.3463393,ns
llama_33,C(adv_id)[T.p4]:prompt_to_prompt_drift,5.79218121276181,327.7270878370775,0.5288077101919969,-12.232553658548486,23.81691608407211,4.869332672230245e-06,22057446334.42307,ns
llama_33,C(adv_id)[T.p5]:prompt_to_prompt_drift,8.79984365402226,6633.206849991874,0.30475502255405773,-8.00571877375958,25.605406081804098,0.0003335496681343154,131912687429.39122,ns
llama_33,C(adv_id)[T.p6]:prompt_to_prompt_drift,-0.31882767057885925,0.7270008221427793,0.9723609426330109,-18.354571061574866,17.71691572041715,1.0683438892377783e-08,49471916.36705693,ns
llama_33,C(adv_id)[T.p7]:prompt_to_prompt_drift,-14.597419890316266,4.5753159691697485e-07,0.17024032138957204,-35.45913000547738,6.2642902248448475,3.9837814545311837e-16,525.4684890891737,ns
llama_33,C(adv_id)[T.p8]:prompt_to_prompt_drift,-12.194550276348439,5.057945036874289e-06,0.24944519168514093,-32.94728164464062,8.558181091943743,4.911084289262169e-15,5209.197498804233,ns
llama_33,C(base_id)[T.Humanities]:context_to_prompt_drift,-0.1779339182015361,0.836997731976745,0.9353026172871773,-4.474123470228253,4.11825563382518,0.011400210370170165,61.45195400668367,ns
llama_33,C(base_id)[T.Legal]:context_to_prompt_drift,2.911462069031261,18.38365710344852,0.1741072859452641,-1.2870956977176293,7.110019835780151,0.2760714147287227,1224.1718282541613,ns
llama_33,C(base_id)[T.Medical]:context_to_prompt_drift,0.8946903306022639,2.4465780417940177,0.678518253169087,-3.3359978686312055,5.125378529835733,0.035579065258547926,168.2378126319821,ns
llama_33,C(base_id)[T.STEM]:context_to_prompt_drift,0.3387900741055186,1.4032487360446673,0.8660737550335539,-3.598508359738401,4.276088507949439,0.02736451002442514,71.95842401173496,ns
gemini_25,C(adv_id)[T.p1]:prompt_to_prompt_drift,-3.312170505173022,0.03643700116305021,0.7956235879019327,-28.375322566042712,21.75098155569667,4.750660413864225e-13,2794674714.8702154,ns
gemini_25,C(adv_id)[T.p2]:prompt_to_prompt_drift,-3.1853214612284515,0.041364946436973506,0.8185877532946526,-30.404833909886676,24.034190987429774,6.242354232199066e-14,27410472557.09667,ns
gemini_25,C(adv_id)[T.p3]:prompt_to_prompt_drift,4.6164079141090655,101.13011085825974,0.6744780651232043,-16.92591439282117,26.1587302210393,4.45829475561875e-08,229399352954.72623,ns
gemini_25,C(adv_id)[T.p4]:prompt_to_prompt_drift,-11.193670947970704,1.3761015215689581e-05,0.4583958323491939,-40.78161488721767,18.39427299127626,1.9443287205475013e-18,97393788.28551015,ns
gemini_25,C(adv_id)[T.p5]:prompt_to_prompt_drift,5.752998714641702,315.1342424787677,0.5763863534907135,-14.430029611486859,25.936027040770263,5.40900977181179e-07,183600316827.3113,ns
gemini_25,C(adv_id)[T.p6]:prompt_to_prompt_drift,0.22860089322113175,1.2568403254040246,0.9848923503727226,-23.43295061214805,23.890152398590313,6.655778407261511e-11,23733476490.71798,ns
gemini_25,C(adv_id)[T.p7]:prompt_to_prompt_drift,-7.105587719413716,0.0008205073254734493,0.5932337881430381,-33.177938872067095,18.966763433239663,3.899457819551784e-15,172647660.85685632,ns
gemini_25,C(adv_id)[T.p8]:prompt_to_prompt_drift,-11.711127862360641,8.202038292223532e-06,0.4432170035543386,-41.646212398643854,18.223956673922576,8.189921952767965e-19,82141725.56841591,ns
gemini_25,C(base_id)[T.Humanities]:context_to_prompt_drift,0.14983573818858972,1.1616434134044284,0.9660010793435301,-6.739969479195597,7.039640955572777,0.0011826832525089525,1140.9778713304956,ns
gemini_25,C(base_id)[T.Legal]:context_to_prompt_drift,1.1390233311125586,3.1237160386044756,0.7268850815797148,-5.252684001875985,7.530730664101102,0.0052334529342646366,1864.4673053137717,ns
gemini_25,C(base_id)[T.Medical]:context_to_prompt_drift,1.109881316082616,3.033998286264624,0.7573363026119078,-5.930455769503389,8.15021840166862,0.002657270609836332,3464.1355558527944,ns
gemini_25,C(base_id)[T.STEM]:context_to_prompt_drift,-2.640802869982948,0.07130399872870478,0.46376774694916745,-9.705335881796012,4.4237301418301165,6.095736443856546e-05,83.40682510686946,ns
deepseek_r1,C(adv_id)[T.p1]:prompt_to_prompt_drift,5.316090840776559,203.5864724714147,0.5058040189948747,-10.343024227882964,20.97520590943608,3.22167444086403e-05,1286518937.0977597,ns
deepseek_r1,C(adv_id)[T.p2]:prompt_to_prompt_drift,-2.56811738404077,0.07667976817860808,0.7863315144726856,-21.136311754874235,16.0000769867927,6.616319013644327e-10,8886794.659990914,ns
