Model,Term,Coefficient,Hazard_Ratio,P_Value,CI_Lower,CI_Upper,HR_CI_Lower,HR_CI_Upper,Significance
llama_33,C(adv_id)[T.p1]:cumulative_drift,2.3509245050095253,10.495268168905145,0.6051970127079899,-6.562516506506228,11.264365516525277,0.0014123271042503346,77992.31042563733,ns
llama_33,C(adv_id)[T.p2]:cumulative_drift,1.7071505505412,5.513229405850094,0.6814354099155369,-6.443669023463699,9.8579701245461,0.0015905601591144453,19110.058998619195,ns
llama_33,C(adv_id)[T.p3]:cumulative_drift,2.4359632100186723,11.426819841670955,0.5711940855840094,-5.994996651698893,10.866923071736236,0.0024911853148817695,52413.68874246192,ns
llama_33,C(adv_id)[T.p4]:cumulative_drift,2.077485976896157,7.984370768698553,0.6303588673104012,-6.383888127443435,10.53886008123575,0.0016885448989858182,37754.5048463549,ns
llama_33,C(adv_id)[T.p5]:cumulative_drift,3.6939057119007472,40.201556424415315,0.3940258632160304,-4.800273933027803,12.188085356829298,0.008227492958241888,196434.70339606373,ns
llama_33,C(adv_id)[T.p6]:cumulative_drift,0.31262114191060864,1.3670035325633088,0.9422359285884898,-8.143453254560619,8.768695538381838,0.0002906318376328379,6429.779590773315,ns
llama_33,C(adv_id)[T.p7]:cumulative_drift,-9.47728328487284,7.657167827707956e-05,0.06370425395267769,-19.49491499933721,0.5403484295915302,3.4155920230732346e-09,1.7166048739313569,ns
llama_33,C(adv_id)[T.p8]:cumulative_drift,-5.61630090179219,0.003638073841577414,0.24976973635156766,-15.180696457418705,3.9480946538343247,2.5533320527226617e-07,51.83650619454887,ns
gemini_25,C(adv_id)[T.p1]:cumulative_drift,1.0325373357002832,2.8081821034037024,0.8693216945050704,-11.268303211502003,13.33337788290257,1.2771387873268784e-05,617465.1341051536,ns
gemini_25,C(adv_id)[T.p2]:cumulative_drift,0.953629170653873,2.5951106895841365,0.881874109298414,-11.624809041403557,13.532067382711302,8.941483513809507e-06,753185.9205234485,ns
gemini_25,C(adv_id)[T.p3]:cumulative_drift,2.8263855181985535,16.88432232333545,0.6166987100662698,-8.241009198935267,13.893780235332372,0.0002636180720866845,1081414.2522995991,ns
gemini_25,C(adv_id)[T.p4]:cumulative_drift,-4.7087731267247275,0.009015832083251414,0.4983306853950509,-18.33862355851415,8.921077305064696,1.0855178838705456e-08,7488.151909902506,ns
gemini_25,C(adv_id)[T.p5]:cumulative_drift,3.265139486253932,26.18376301112998,0.5311502005150802,-6.95369278460833,13.483971757116194,0.0009551016488051209,717818.3037174364,ns
gemini_25,C(adv_id)[T.p6]:cumulative_drift,2.5460345417462826,12.756418309244788,0.6584197572045477,-8.741414999259648,13.833484082752213,0.00015982757193287844,1018136.020665912,ns
gemini_25,C(adv_id)[T.p7]:cumulative_drift,-3.3512845448579403,0.035039315607366235,0.5894166348502918,-15.52215913200449,8.81959004228861,1.8147296781277379e-07,6765.490491670893,ns
gemini_25,C(adv_id)[T.p8]:cumulative_drift,-4.288165898098424,0.013730084592216219,0.5517366315262697,-18.409835646157084,9.833503849960234,1.0109041190391284e-08,18648.180312945824,ns
deepseek_r1,C(adv_id)[T.p1]:cumulative_drift,1.646983764913505,5.19129801383725,0.6840844082126267,-6.286319173535906,9.580286703362917,0.0018615995763748836,14476.569188391108,ns
